image_id,current_filename,recommended_filename,status,source_path
IMG_LOCATION_ROAD,img__location_road__v1.webp,location_outdoor_road_scene_001.webp,missing,
IMG_LOCATION_ROOM,img__location_room__v1.webp,location_indoor_room_scene_001.webp,missing,
IMG_LOCATION_SCHOOL,img__location_school__v1.webp,location_indoor_school_scene_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00127.webp
IMG_LOCATION_SCHOOL_BAG,img__location_school_bag__v1.webp,location_building_school_bag_scene_001.webp,missing,
IMG_LOCATION_SHOP,img__location_shop__v1.webp,location_indoor_shop_scene_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00086.webp
IMG_LOCATION_SHOPPING_MALL,img__location_shopping_mall__v1.webp,location_building_shopping_mall_scene_001.webp,missing,
IMG_LOCATION_STATION,img__location_station__v1.webp,location_outdoor_station_scene_001.webp,missing,
IMG_LOCATION_STORE,img__location_store__v1.webp,location_indoor_store_scene_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00086.webp
IMG_LOCATION_STREET,img__location_street__v1.webp,location_outdoor_street_scene_001.webp,missing,
IMG_LOCATION_TRAIN_STATION,img__location_train_station__v1.webp,location_outdoor_train_station_scene_001.webp,missing,
IMG_NUMBER_EIGHT,img__number_eight__v1.webp,count_number_eight_dots_grid_2x4_001.webp,missing,
IMG_NUMBER_FIVE,img__number_five__v1.webp,count_number_five_dots_arc_001.webp,missing,
IMG_NUMBER_FOUR,img__number_four__v1.webp,count_number_four_dots_grid_2x2_001.webp,missing,
IMG_NUMBER_HALF,img__number_half__v1.webp,count_number_half_split_circle_001.webp,missing,
IMG_NUMBER_HUNDRED,img__number_hundred__v1.webp,count_number_hundred_dense_dot_grid_001.webp,missing,
IMG_NUMBER_NINE,img__number_nine__v1.webp,count_number_nine_dots_grid_3x3_001.webp,missing,
IMG_NUMBER_ONE,img__number_one__v1.webp,count_number_one_single_dot_001.webp,missing,
IMG_NUMBER_SEVEN,img__number_seven__v1.webp,count_number_seven_dots_cluster_001.webp,missing,
IMG_NUMBER_SIX,img__number_six__v1.webp,count_number_six_dots_grid_2x3_001.webp,missing,
IMG_NUMBER_TEN,img__number_ten__v1.webp,count_number_ten_dots_columns_2x5_001.webp,missing,
IMG_NUMBER_THREE,img__number_three__v1.webp,count_number_three_three_dots_row_001.webp,missing,
IMG_NUMBER_TWO,img__number_two__v1.webp,count_number_two_two_dots_001.webp,missing,
IMG_NUMBER_ZERO,img__number_zero__v1.webp,count_number_zero_empty_circle_001.webp,missing,
IMG_OBJECT_A_FEW,img__object_a_few__v1.webp,object_general_a_few_centered_001.webp,missing,
IMG_OBJECT_A_LITTLE_BIT,img__object_a_little_bit__v1.webp,object_general_a_little_bit_centered_001.webp,missing,
IMG_OBJECT_A_LITTLE_WHILE,img__object_a_little_while__v1.webp,object_general_a_little_while_centered_001.webp,missing,
IMG_OBJECT_A_MOMENT,img__object_a_moment__v1.webp,object_general_a_moment_centered_001.webp,missing,
IMG_OBJECT_ABOVE,img__object_above__v1.webp,object_general_above_centered_001.webp,missing,
IMG_OBJECT_ACTION,img__object_action__v1.webp,object_general_action_centered_001.webp,missing,
IMG_OBJECT_ADMISSION_TICKET,img__object_admission_ticket__v1.webp,object_general_admission_ticket_centered_001.webp,missing,
IMG_OBJECT_AFTERNOON,img__object_afternoon__v1.webp,object_time_afternoon_centered_001.webp,missing,
